operator_id,name,role,years_experience,machine_skill_level,task_skill_level,authorized_machine_types,certification_status,certification_expiry,baseline_idle_ratio,baseline_cycle_time_sec,baseline_fuel_l_per_cycle,baseline_safety_event_rate,recent_workload_hours,fatigue_proxy,training_status,face_registered,face_embedding_path,face_model,face_registration_timestamp,data_source,synthetic_flag,data_quality_confidence
OP1001,Operator_OP1001,senior_operator,15.7,expert,expert,"hauler,grader,loader",active,2026-10-03,0.0963,86.5,5.9,0.0838,57.1,0.719,due,True,data/face_registrations/OP1001_embedding.npy,ArcFace,2026-01-01T06:00:00,synthetic,True,0.85
OP1002,Operator_OP1002,lead_operator,9.4,intermediate,intermediate,loader,active,2025-09-04,0.0749,74.7,3.58,0.0607,55.7,0.662,up_to_date,True,data/face_registrations/OP1002_embedding.npy,ArcFace,2026-01-01T06:00:00,synthetic,True,0.85
OP1003,Operator_OP1003,operator,9.9,intermediate,intermediate,"hauler,dozer",active,2027-06-29,0.04,46.0,7.06,0.106,25.2,0.248,up_to_date,True,data/face_registrations/OP1003_embedding.npy,ArcFace,2026-01-01T06:00:00,synthetic,True,0.85
OP1004,Operator_OP1004,lead_operator,13.7,advanced,advanced,"hauler,loader",active,2026-02-07,0.1019,87.7,6.66,0.0716,25.6,0.374,up_to_date,False,,,,synthetic,True,0.85
OP1005,Operator_OP1005,lead_operator,16.0,expert,expert,excavator,active,2026-08-09,0.1385,75.4,6.76,0.0258,38.8,0.351,due,False,,,,synthetic,True,0.85
OP1006,Operator_OP1006,operator,13.1,advanced,advanced,"excavator,dozer,grader",active,2027-07-22,0.126,69.6,4.42,0.0189,31.3,0.402,due,False,,,,synthetic,True,0.85
OP1007,Operator_OP1007,senior_operator,11.6,advanced,advanced,"hauler,excavator",active,2027-03-31,0.1742,79.1,5.17,0.005,26.5,0.332,up_to_date,False,,,,synthetic,True,0.85
OP1008,Operator_OP1008,lead_operator,14.2,advanced,advanced,"excavator,hauler,dozer",expired,2026-09-28,0.1021,55.3,4.48,0.005,30.6,0.487,due,False,,,,synthetic,True,0.85
OP1009,Operator_OP1009,lead_operator,14.6,advanced,advanced,"excavator,grader,dozer",active,2026-08-30,0.1015,47.1,3.38,0.0153,50.3,0.587,up_to_date,False,,,,synthetic,True,0.85
OP1010,Operator_OP1010,operator,12.9,advanced,advanced,grader,active,2027-02-26,0.1322,76.1,3.48,0.005,24.1,0.207,up_to_date,False,,,,synthetic,True,0.85
OP1011,Operator_OP1011,senior_operator,18.6,expert,expert,"dozer,grader",active,2026-03-13,0.1147,46.4,5.89,0.0699,39.6,0.529,up_to_date,False,,,,synthetic,True,0.85
OP1012,Operator_OP1012,senior_operator,10.0,intermediate,intermediate,"loader,excavator",active,2026-04-05,0.0807,58.2,5.42,0.005,24.3,0.265,up_to_date,False,,,,synthetic,True,0.85
OP1013,Operator_OP1013,senior_operator,13.5,advanced,advanced,excavator,active,2026-11-14,0.1575,83.5,3.39,0.005,53.2,0.732,up_to_date,False,,,,synthetic,True,0.85
OP1014,Operator_OP1014,lead_operator,19.1,expert,expert,"dozer,excavator",none,2025-11-19,0.058,57.4,4.08,0.005,49.9,0.637,overdue,False,,,,synthetic,True,0.85
OP1015,Operator_OP1015,operator,10.9,advanced,advanced,"hauler,dozer,grader",active,2025-08-03,0.0875,87.8,6.64,0.005,53.2,0.651,up_to_date,False,,,,synthetic,True,0.85
OP1016,Operator_OP1016,operator,12.4,advanced,advanced,"hauler,grader",active,2025-12-10,0.189,45.2,4.74,0.0965,25.3,0.367,up_to_date,False,,,,synthetic,True,0.85
OP1017,Operator_OP1017,operator,10.6,advanced,advanced,loader,active,2026-08-03,0.16,74.7,3.9,0.0677,57.1,0.675,up_to_date,False,,,,synthetic,True,0.85
OP1018,Operator_OP1018,operator,10.3,advanced,advanced,"grader,excavator",active,2027-04-24,0.1551,101.5,4.22,0.005,36.8,0.661,up_to_date,False,,,,synthetic,True,0.85
OP1019,Operator_OP1019,operator,18.7,expert,expert,hauler,active,2026-08-30,0.1566,54.6,7.02,0.005,41.2,0.43,overdue,False,,,,synthetic,True,0.85
OP1020,Operator_OP1020,operator,12.5,advanced,advanced,grader,active,2026-03-06,0.101,57.5,5.1,0.0816,49.8,0.77,up_to_date,False,,,,synthetic,True,0.85
OP1021,Operator_OP1021,operator,2.3,novice,novice,"loader,excavator,grader",active,2026-08-23,0.1661,56.8,6.83,0.0211,20.8,0.239,up_to_date,False,,,,synthetic,True,0.85
OP1022,Operator_OP1022,operator,2.0,novice,novice,"hauler,grader,loader",active,2027-09-22,0.1663,94.6,5.07,0.0726,30.0,0.501,up_to_date,False,,,,synthetic,True,0.85
OP1023,Operator_OP1023,lead_operator,1.9,novice,novice,"hauler,loader",expired,2027-07-03,0.1252,83.8,3.87,0.0095,59.2,0.702,due,False,,,,synthetic,True,0.85
OP1024,Operator_OP1024,operator,13.2,advanced,advanced,"dozer,loader,hauler",active,2025-08-29,0.1684,39.6,5.73,0.0772,39.1,0.515,up_to_date,False,,,,synthetic,True,0.85
OP1025,Operator_OP1025,senior_operator,8.0,intermediate,intermediate,"loader,grader,hauler",active,2026-08-28,0.1057,61.0,4.58,0.0196,53.9,0.709,due,False,,,,synthetic,True,0.85
OP1026,Operator_OP1026,operator,11.1,advanced,advanced,"hauler,loader",active,2027-02-03,0.1469,53.5,6.32,0.0628,49.0,0.671,overdue,False,,,,synthetic,True,0.85
OP1027,Operator_OP1027,senior_operator,3.6,novice,novice,"grader,excavator,dozer",active,2026-10-21,0.2314,100.6,6.16,0.1069,26.9,0.428,up_to_date,False,,,,synthetic,True,0.85
OP1028,Operator_OP1028,operator,9.9,intermediate,intermediate,hauler,active,2027-06-20,0.1297,88.7,7.48,0.0545,23.5,0.323,up_to_date,False,,,,synthetic,True,0.85
OP1029,Operator_OP1029,lead_operator,15.7,expert,expert,"grader,hauler,dozer",active,2025-09-21,0.1404,49.8,7.56,0.005,37.5,0.459,due,False,,,,synthetic,True,0.85
OP1030,Operator_OP1030,operator,11.5,advanced,advanced,loader,none,2026-07-25,0.2033,87.4,5.4,0.1021,54.0,0.659,up_to_date,False,,,,synthetic,True,0.85
