event_id,timestamp,session_id,operator_id,machine_id,worker_distance_m,worker_relative_direction,closing_speed_mps,machine_speed_kmh,swing_angle_deg,arm_speed,bucket_state,attachment_movement,machine_state,worker_in_envelope,site_slope_deg,surface_type,congestion_level,blind_zone_flag,rain_mm,visibility_m,dust_level,day_night,seatbelt_status,event_type,severity,trigger_reason,required_action,alert_sent,alert_queued,incident_logged,data_source,synthetic_flag,confidence
SE00001,2026-01-08T23:24:54,S000124,OP1013,EXC005,164.0,front,0.0,11.8,0.0,0.0,loading,False,traveling,False,14.9,soft,medium,False,0.0,4683.0,low,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.916
SE00002,2026-10-21T13:00:37,S004692,OP1018,EXC006,14.7,front,0.209,6.7,0.0,0.0,open,False,traveling,False,3.3,soft,high,False,0.0,3004.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.836
SE00003,2026-04-15T04:03:23,S001662,OP1019,EXC003,18.5,right,0.0,1.2,0.0,0.0,closed,False,safe_idle,False,1.4,paved,high,False,0.52,736.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.815
SE00004,2026-03-11T20:36:16,S001114,OP1028,EXC005,12.4,right,0.0,2.5,0.0,0.0,open,False,safe_idle,False,3.3,soft,high,False,0.05,2650.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.772
SE00005,2026-07-02T14:54:37,S002918,OP1010,EXC008,11.8,front,0.867,2.1,27.9,0.51,closed,True,swinging,True,8.6,soft,medium,True,0.0,1428.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.905
SE00006,2026-04-26T19:16:50,S001849,OP1020,EXC005,17.8,rear,0.083,11.8,0.0,0.0,closed,False,traveling,False,14.1,rocky,high,True,0.73,99.0,high,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.814
SE00007,2026-06-17T09:09:08,S002674,OP1020,EXC008,8.9,right,0.071,1.1,0.0,0.0,loading,False,safe_idle,False,14.1,rocky,high,False,0.0,4451.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.735
SE00008,2026-06-19T09:13:56,S002706,OP1025,EXC005,19.2,rear,0.047,0.7,0.0,0.0,loading,False,safe_idle,False,2.4,soft,medium,False,0.08,1639.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.773
SE00009,2026-01-07T00:59:25,S000092,OP1009,EXC001,22.4,rear,0.029,11.0,0.0,0.0,open,False,traveling,False,11.8,wet,high,False,0.29,2130.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.816
SE00010,2026-05-02T17:05:47,S001944,OP1009,EXC006,9.9,front,1.867,0.3,75.5,0.928,closed,True,swinging,True,1.4,paved,high,False,0.0,2781.0,low,day,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.905
SE00011,2026-03-10T16:23:37,S001095,OP1014,EXC009,17.4,front,0.135,12.7,0.0,0.0,loading,False,traveling,False,2.4,soft,medium,True,0.0,902.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.802
SE00012,2026-04-28T23:36:16,S001884,OP1011,EXC005,8.5,rear,0.431,0.8,0.0,0.73,loading,True,digging,False,1.4,paved,high,True,0.21,2072.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.843
