session_id,task_id,operator_id,machine_id,start_timestamp,end_timestamp,task_type,task_phase,workload,target_output,priority,machine_condition,attachment_type,engine_hours,engine_load_pct,load_cycles,soil_material,soil_moisture_pct,soil_hardness_index,site_slope_deg,surface_type,congestion_level,travel_distance_km,rain_mm,temperature_c,heat_index_c,visibility_m,dust_level,day_night,shift_elapsed_min,operator_cumulative_hours,recent_idle_ratio,recent_load_ratio,recent_incident_count,actual_task_duration_min,actual_fuel_used_l,actual_idle_time_min,actual_cycle_count,data_source,synthetic_flag,data_quality_confidence
S000001,T00301,OP1005,EXC005,2026-01-01T06:39:32,2026-01-01T07:32:31,grading,active,light,369.6,4,poor,bucket,4290.0,42.1,42,gravel,64.1,0.575,8.6,soft,medium,3.14,0.0,24.5,24.5,4488.0,low,day,39.0,28920.6,0.1718,0.304,0,52.98,14.0,7.82,42,synthetic,True,0.85
S000002,T00499,OP1014,EXC001,2026-01-01T07:46:02,2026-01-01T08:51:13,loading,active,medium,40.2,1,good,bucket,3905.0,67.1,69,mixed,35.7,0.409,11.8,wet,high,3.2,1.42,24.0,26.0,1335.0,low,day,106.0,34452.4,0.1077,0.6006,1,65.18,10.43,7.04,69,synthetic,True,0.85
S000003,T01261,OP1008,EXC005,2026-01-01T09:45:36,2026-01-01T13:03:01,trenching,active,heavy,134.6,1,poor,bucket,4290.0,90.1,212,mixed,35.7,0.409,11.8,wet,high,0.39,0.0,25.3,25.3,2631.0,low,day,225.0,25601.6,0.1281,0.8903,0,197.42,49.35,25.09,212,synthetic,True,0.85
S000004,T01438,OP1027,EXC002,2026-01-01T10:50:41,2026-01-01T12:11:58,grading,wrap_up,heavy,894.2,1,fair,ripper,3950.0,88.7,47,sand,79.3,0.142,9.0,paved,low,2.08,0.0,36.0,36.0,2400.0,low,day,290.0,6577.3,0.254,0.8788,0,81.29,26.22,20.86,47,synthetic,True,0.85
S000005,T01120,OP1008,EXC003,2026-01-01T12:57:37,2026-01-01T14:41:50,hauling,active,medium,39.1,4,poor,hammer,4055.0,71.6,112,rock,28.3,0.906,14.1,rocky,high,0.77,1.28,25.8,27.8,3875.0,low,day,417.0,25578.7,0.1425,0.5598,0,104.21,26.43,14.5,112,synthetic,True,0.85
S000006,T00451,OP1021,EXC004,2026-01-01T14:18:14,2026-01-01T15:28:22,hauling,active,medium,18.6,2,good,grapple,3790.0,60.7,72,rock,18.0,0.794,14.9,soft,medium,3.31,0.0,23.4,23.4,976.0,low,day,498.0,4266.1,0.2457,0.6539,1,70.13,18.83,17.29,72,synthetic,True,0.85
S000007,T00798,OP1017,EXC009,2026-01-01T15:38:14,2026-01-01T16:52:03,excavation,active,medium,154.6,2,good,hammer,4810.0,76.0,58,gravel,64.1,0.575,8.6,soft,medium,1.97,0.0,23.7,23.7,3229.0,low,day,578.0,19127.1,0.2047,0.614,2,73.8,9.52,14.53,58,synthetic,True,0.85
S000008,T00267,OP1007,EXC005,2026-01-01T17:05:13,2026-01-01T19:42:01,excavation,wrap_up,heavy,462.2,3,poor,grapple,4290.0,84.0,117,rock,21.9,0.872,11.3,wet,medium,4.83,0.0,27.6,27.6,3497.0,low,day,665.0,20966.2,0.2409,0.8797,0,156.81,64.92,38.42,117,synthetic,True,0.85
S000009,T01286,OP1015,EXC001,2026-01-01T18:57:32,2026-01-01T19:41:53,loading,active,light,67.8,1,good,blade,3905.0,26.3,29,rock,18.0,0.794,14.9,soft,medium,4.21,0.0,38.8,38.8,3328.0,low,day,777.0,19716.5,0.0727,0.19,0,44.35,8.78,3.32,29,synthetic,True,0.85
S000010,T01016,OP1016,EXC007,2026-01-01T19:32:25,2026-01-01T22:05:50,excavation,active,heavy,71.3,5,poor,bucket,3915.0,90.6,202,mixed,71.5,0.761,10.1,rocky,low,0.28,5.87,27.1,29.1,265.0,medium,night,812.0,22514.5,0.2059,0.8028,2,153.42,44.02,31.59,202,synthetic,True,0.85
