task_id,task_type,task_phase,workload,target_output,priority,deadline_timestamp,location_id,dependency_task_id,estimated_travel_distance_km,required_machine_type,required_attachment,required_skill_level,status
T00001,loading,active,light,91.6,3,2026-01-15T06:00:00,LOC010,null,1.24,loader,bucket,novice,active
T00002,trenching,setup,light,171.8,5,2026-01-10T06:00:00,LOC007,null,3.28,excavator,grapple,advanced,completed
T00003,excavation,active,heavy,267.2,3,2026-01-23T06:00:00,LOC006,null,4.27,excavator,hammer,intermediate,blocked
T00004,trenching,active,medium,115.7,3,2026-01-16T06:00:00,LOC002,null,2.05,excavator,ripper,advanced,completed
T00005,excavation,setup,heavy,251.7,1,2026-01-11T06:00:00,LOC005,null,3.03,excavator,blade,intermediate,pending
T00006,grading,wrap_up,medium,529.8,5,2026-01-02T06:00:00,LOC008,null,4.53,grader,grapple,advanced,blocked
T00007,hauling,active,medium,29.9,1,2026-01-04T06:00:00,LOC010,null,4.85,hauler,hammer,novice,pending
T00008,grading,active,light,136.9,3,2026-01-30T06:00:00,LOC008,null,2.5,grader,ripper,advanced,active
T00009,stockpiling,setup,medium,246.6,4,2026-01-04T06:00:00,LOC003,null,4.13,loader,ripper,novice,pending
T00010,excavation,active,medium,398.2,1,2026-01-03T06:00:00,LOC009,null,3.72,excavator,blade,advanced,pending
T00011,excavation,setup,medium,354.8,5,2026-01-08T06:00:00,LOC006,null,2.07,excavator,bucket,advanced,completed
T00012,excavation,active,heavy,184.5,4,2026-01-27T06:00:00,LOC006,null,2.05,excavator,bucket,novice,completed
T00013,excavation,active,heavy,499.4,4,2026-01-11T06:00:00,LOC003,T00009,2.1,excavator,grapple,novice,active
T00014,stockpiling,active,heavy,164.2,3,2026-01-23T06:00:00,LOC004,null,1.89,loader,bucket,novice,pending
T00015,excavation,active,medium,239.2,5,2026-01-03T06:00:00,LOC010,null,3.78,excavator,grapple,intermediate,pending
T00016,hauling,wrap_up,medium,38.4,2,2026-01-18T06:00:00,LOC003,null,3.3,hauler,grapple,novice,pending
T00017,loading,wrap_up,medium,60.5,2,2026-01-10T06:00:00,LOC008,null,3.94,loader,hammer,intermediate,active
T00018,stockpiling,wrap_up,heavy,80.0,5,2026-01-09T06:00:00,LOC002,null,0.6,loader,grapple,intermediate,blocked
T00019,trenching,setup,heavy,38.5,2,2026-01-20T06:00:00,LOC001,null,1.31,excavator,grapple,novice,active
T00020,trenching,setup,medium,30.9,1,2026-01-03T06:00:00,LOC009,null,1.11,excavator,hammer,advanced,pending
