training_id,operator_id,trigger_event_id,issue_type,attribution_type,confidence,lesson_id,lesson_type,quiz_score_before,quiz_score_after,before_metric,after_metric,improvement_pct,escalation_state,completed_timestamp
TR00001,OP1016,SE01119,efficient_loading,operator-driven,0.935,L004,micro_lesson,4,9,0.676,0.966,29.0,escalated_to_supervisor,2026-02-15T06:00:00
TR00002,OP1027,SE00487,fuel_efficiency,operator-driven,0.874,L005,scenario,5,6,0.347,0.427,8.0,first_trigger,2026-01-24T06:00:00
TR00003,OP1022,SE01115,fuel_efficiency,mixed,0.728,L005,scenario,4,8,0.437,0.451,1.4,first_trigger,2026-01-11T06:00:00
TR00004,OP1020,SE01190,swing_zone_awareness,operator-driven,0.699,L003,scenario,7,10,0.691,0.784,9.3,escalated_to_supervisor,2026-03-01T06:00:00
TR00005,OP1008,SE00355,fuel_efficiency,operator-driven,0.767,L005,scenario,4,10,0.498,0.642,14.4,first_trigger,2026-01-27T06:00:00
TR00006,OP1019,SE01251,fuel_efficiency,mixed,0.81,L005,scenario,4,5,0.619,0.917,29.7,first_trigger,2026-01-03T06:00:00
TR00007,OP1012,SE00989,idle_reduction,mixed,0.781,L001,quiz_only,6,6,0.634,0.763,13.0,first_trigger,2026-02-11T06:00:00
TR00008,OP1001,SE00288,swing_zone_awareness,mixed,0.725,L003,scenario,6,10,0.732,0.814,8.3,second_trigger,2026-01-05T06:00:00
TR00009,OP1006,SE00809,efficient_loading,operator-driven,0.857,L004,micro_lesson,4,10,0.671,0.827,15.6,first_trigger,2026-02-17T06:00:00
TR00010,OP1010,SE01074,idle_reduction,mixed,0.942,L001,micro_lesson,5,8,0.358,0.51,15.2,second_trigger,2026-02-24T06:00:00
TR00011,OP1003,SE00251,fuel_efficiency,mixed,0.705,L005,quiz_only,7,9,0.643,0.738,9.4,first_trigger,2026-02-14T06:00:00
TR00012,OP1026,SE00346,swing_zone_awareness,mixed,0.774,L003,scenario,7,8,0.375,0.637,26.2,second_trigger,2026-01-05T06:00:00
TR00013,OP1022,SE00280,idle_reduction,operator-driven,0.788,L001,quiz_only,6,6,0.695,0.976,28.0,second_trigger,2026-02-04T06:00:00
TR00014,OP1029,SE00757,fuel_efficiency,mixed,0.725,L005,scenario,6,6,0.385,0.415,3.0,first_trigger,2026-01-23T06:00:00
TR00015,OP1008,SE00028,seatbelt_compliance,mixed,0.677,L002,micro_lesson,5,6,0.686,0.781,9.5,first_trigger,2026-02-17T06:00:00
TR00016,OP1013,SE00597,fuel_efficiency,operator-driven,0.915,L005,micro_lesson,6,5,0.451,0.596,14.5,first_trigger,2026-02-08T06:00:00
TR00017,OP1017,SE00488,efficient_loading,mixed,0.796,L004,quiz_only,6,6,0.474,0.678,20.4,first_trigger,2026-01-07T06:00:00
TR00018,OP1006,SE01369,seatbelt_compliance,mixed,0.894,L002,quiz_only,7,9,0.397,0.595,19.7,first_trigger,2026-01-27T06:00:00
TR00019,OP1008,SE01094,swing_zone_awareness,mixed,0.791,L003,quiz_only,5,5,0.41,0.609,19.9,second_trigger,2026-02-11T06:00:00
TR00020,OP1026,SE01228,swing_zone_awareness,operator-driven,0.73,L003,micro_lesson,3,10,0.552,0.576,2.3,first_trigger,2026-01-03T06:00:00
TR00021,OP1024,SE01059,swing_zone_awareness,mixed,0.743,L003,micro_lesson,7,8,0.711,0.778,6.7,first_trigger,2026-02-11T06:00:00
TR00022,OP1003,SE01141,fuel_efficiency,mixed,0.898,L005,scenario,6,8,0.603,0.761,15.9,first_trigger,2026-01-30T06:00:00
TR00023,OP1028,SE01164,fuel_efficiency,operator-driven,0.912,L005,quiz_only,6,6,0.312,0.509,19.7,first_trigger,2026-02-24T06:00:00
TR00024,OP1011,SE00830,idle_reduction,mixed,0.727,L001,quiz_only,6,6,0.708,0.769,6.0,first_trigger,2026-01-24T06:00:00
TR00025,OP1014,SE01397,idle_reduction,mixed,0.811,L001,scenario,5,6,0.369,0.439,7.0,second_trigger,2026-02-27T06:00:00
TR00026,OP1022,SE00574,idle_reduction,mixed,0.777,L001,micro_lesson,7,8,0.492,0.595,10.2,second_trigger,2026-01-15T06:00:00
TR00027,OP1017,SE00257,seatbelt_compliance,mixed,0.922,L002,quiz_only,4,7,0.491,0.622,13.1,first_trigger,2026-01-02T06:00:00
TR00028,OP1024,SE00377,swing_zone_awareness,operator-driven,0.674,L003,micro_lesson,7,8,0.688,0.769,8.0,first_trigger,2026-01-16T06:00:00
TR00029,OP1024,SE01057,swing_zone_awareness,mixed,0.792,L003,micro_lesson,4,7,0.471,0.645,17.3,first_trigger,2026-01-14T06:00:00
TR00030,OP1006,SE00038,fuel_efficiency,mixed,0.893,L005,micro_lesson,5,10,0.6,0.711,11.1,first_trigger,2026-02-19T06:00:00
TR00031,OP1003,SE00449,fuel_efficiency,mixed,0.702,L005,micro_lesson,4,6,0.496,0.583,8.8,first_trigger,2026-01-16T06:00:00
TR00032,OP1027,SE00358,efficient_loading,operator-driven,0.85,L004,scenario,6,8,0.476,0.655,17.8,first_trigger,2026-02-02T06:00:00
TR00033,OP1028,SE00280,efficient_loading,operator-driven,0.848,L004,quiz_only,5,5,0.462,0.562,10.0,first_trigger,2026-02-07T06:00:00
TR00034,OP1021,SE00173,swing_zone_awareness,operator-driven,0.83,L003,scenario,5,8,0.653,0.904,25.1,first_trigger,2026-02-23T06:00:00
TR00035,OP1025,SE01180,efficient_loading,mixed,0.797,L004,micro_lesson,4,6,0.554,0.744,19.0,second_trigger,2026-02-05T06:00:00
TR00036,OP1018,SE01058,swing_zone_awareness,mixed,0.81,L003,quiz_only,6,7,0.602,0.819,21.8,second_trigger,2026-01-11T06:00:00
TR00037,OP1022,SE00466,seatbelt_compliance,operator-driven,0.881,L002,quiz_only,6,6,0.439,0.709,27.0,second_trigger,2026-01-27T06:00:00
TR00038,OP1027,SE00919,efficient_loading,mixed,0.825,L004,scenario,6,10,0.389,0.447,5.8,first_trigger,2026-01-29T06:00:00
TR00039,OP1008,SE01101,fuel_efficiency,operator-driven,0.678,L005,quiz_only,4,6,0.373,0.395,2.3,second_trigger,2026-01-10T06:00:00
TR00040,OP1027,SE00343,swing_zone_awareness,operator-driven,0.676,L003,quiz_only,7,9,0.58,0.662,8.2,second_trigger,2026-02-16T06:00:00
TR00041,OP1003,SE00057,fuel_efficiency,operator-driven,0.919,L005,scenario,6,9,0.719,0.88,16.1,first_trigger,2026-02-04T06:00:00
TR00042,OP1006,SE00860,idle_reduction,operator-driven,0.744,L001,micro_lesson,6,8,0.456,0.487,3.1,second_trigger,2026-01-20T06:00:00
TR00043,OP1012,SE00231,seatbelt_compliance,operator-driven,0.911,L002,quiz_only,4,7,0.739,0.963,22.4,first_trigger,2026-02-11T06:00:00
TR00044,OP1028,SE00066,fuel_efficiency,mixed,0.879,L005,quiz_only,5,5,0.407,0.67,26.3,first_trigger,2026-01-08T06:00:00
TR00045,OP1013,SE01379,swing_zone_awareness,operator-driven,0.741,L003,scenario,3,5,0.614,0.713,9.9,second_trigger,2026-01-10T06:00:00
TR00046,OP1027,SE01369,swing_zone_awareness,operator-driven,0.886,L003,quiz_only,6,10,0.318,0.386,6.8,first_trigger,2026-03-01T06:00:00
TR00047,OP1018,SE00182,fuel_efficiency,operator-driven,0.873,L005,quiz_only,4,6,0.377,0.548,17.2,first_trigger,2026-01-29T06:00:00
TR00048,OP1012,SE00708,efficient_loading,mixed,0.723,L004,micro_lesson,3,6,0.66,0.704,4.4,first_trigger,2026-01-15T06:00:00
TR00049,OP1017,SE00962,seatbelt_compliance,operator-driven,0.823,L002,scenario,4,6,0.562,0.711,14.8,first_trigger,2026-03-01T06:00:00
TR00050,OP1001,SE01012,efficient_loading,operator-driven,0.845,L004,micro_lesson,5,10,0.311,0.385,7.4,first_trigger,2026-01-26T06:00:00
TR00051,OP1005,SE00723,seatbelt_compliance,operator-driven,0.771,L002,micro_lesson,7,10,0.649,0.907,25.8,escalated_to_supervisor,2026-02-28T06:00:00
TR00052,OP1015,SE00638,efficient_loading,operator-driven,0.937,L004,quiz_only,4,10,0.422,0.588,16.5,first_trigger,2026-02-24T06:00:00
TR00053,OP1021,SE00407,efficient_loading,mixed,0.879,L004,micro_lesson,3,5,0.708,0.841,13.3,first_trigger,2026-01-12T06:00:00
TR00054,OP1001,SE00912,efficient_loading,operator-driven,0.923,L004,micro_lesson,6,5,0.676,0.805,12.8,first_trigger,2026-02-27T06:00:00
TR00055,OP1029,SE00622,swing_zone_awareness,mixed,0.838,L003,micro_lesson,7,6,0.707,0.974,26.6,second_trigger,2026-02-22T06:00:00
TR00056,OP1030,SE00217,efficient_loading,operator-driven,0.914,L004,quiz_only,4,7,0.538,0.707,16.9,second_trigger,2026-02-17T06:00:00
TR00057,OP1027,SE00581,idle_reduction,mixed,0.809,L001,micro_lesson,6,7,0.691,0.973,28.2,second_trigger,2026-02-24T06:00:00
TR00058,OP1002,SE00034,seatbelt_compliance,mixed,0.736,L002,micro_lesson,4,9,0.469,0.478,0.9,second_trigger,2026-01-22T06:00:00
TR00059,OP1021,SE00657,idle_reduction,mixed,0.865,L001,quiz_only,5,8,0.649,0.902,25.4,second_trigger,2026-01-07T06:00:00
TR00060,OP1004,SE00193,idle_reduction,mixed,0.889,L001,scenario,3,7,0.349,0.584,23.5,first_trigger,2026-01-17T06:00:00
TR00061,OP1014,SE00865,efficient_loading,operator-driven,0.661,L004,scenario,6,8,0.436,0.473,3.7,second_trigger,2026-01-17T06:00:00
TR00062,OP1026,SE01440,efficient_loading,mixed,0.856,L004,scenario,6,6,0.326,0.546,21.9,first_trigger,2026-02-15T06:00:00
TR00063,OP1021,SE01480,idle_reduction,operator-driven,0.787,L001,micro_lesson,7,10,0.497,0.585,8.8,second_trigger,2026-02-24T06:00:00
TR00064,OP1022,SE00031,swing_zone_awareness,mixed,0.857,L003,scenario,5,8,0.398,0.615,21.7,escalated_to_supervisor,2026-02-26T06:00:00
TR00065,OP1006,SE00753,fuel_efficiency,mixed,0.842,L005,quiz_only,4,9,0.656,0.8,14.5,second_trigger,2026-01-17T06:00:00
TR00066,OP1012,SE00090,idle_reduction,operator-driven,0.881,L001,micro_lesson,5,8,0.723,0.794,7.1,first_trigger,2026-02-14T06:00:00
TR00067,OP1030,SE00951,idle_reduction,mixed,0.864,L001,scenario,3,10,0.309,0.411,10.3,first_trigger,2026-02-28T06:00:00
TR00068,OP1010,SE00920,fuel_efficiency,mixed,0.743,L005,quiz_only,3,9,0.729,0.817,8.8,first_trigger,2026-02-13T06:00:00
TR00069,OP1010,SE00541,fuel_efficiency,operator-driven,0.777,L005,scenario,7,10,0.349,0.521,17.2,second_trigger,2026-01-12T06:00:00
TR00070,OP1028,SE00629,fuel_efficiency,mixed,0.79,L005,micro_lesson,5,6,0.364,0.423,5.8,escalated_to_supervisor,2026-02-22T06:00:00
TR00071,OP1022,SE00107,fuel_efficiency,mixed,0.738,L005,micro_lesson,3,6,0.328,0.385,5.7,first_trigger,2026-01-04T06:00:00
TR00072,OP1008,SE01186,swing_zone_awareness,operator-driven,0.838,L003,scenario,3,7,0.731,0.897,16.7,first_trigger,2026-01-05T06:00:00
TR00073,OP1020,SE00591,idle_reduction,operator-driven,0.816,L001,micro_lesson,3,8,0.749,1.0,26.1,first_trigger,2026-02-17T06:00:00
TR00074,OP1020,SE00169,swing_zone_awareness,mixed,0.709,L003,quiz_only,6,10,0.465,0.514,4.9,escalated_to_supervisor,2026-01-14T06:00:00
TR00075,OP1022,SE01354,swing_zone_awareness,mixed,0.893,L003,quiz_only,3,10,0.365,0.636,27.1,first_trigger,2026-01-27T06:00:00
TR00076,OP1006,SE00720,efficient_loading,mixed,0.755,L004,micro_lesson,4,5,0.385,0.595,21.0,second_trigger,2026-01-24T06:00:00
TR00077,OP1002,SE01059,efficient_loading,operator-driven,0.714,L004,micro_lesson,4,7,0.712,0.799,8.7,second_trigger,2026-02-12T06:00:00
TR00078,OP1002,SE01172,fuel_efficiency,operator-driven,0.715,L005,micro_lesson,4,5,0.429,0.471,4.2,second_trigger,2026-01-26T06:00:00
TR00079,OP1026,SE00348,seatbelt_compliance,mixed,0.775,L002,scenario,4,5,0.682,0.905,22.3,first_trigger,2026-01-29T06:00:00
TR00080,OP1017,SE01159,swing_zone_awareness,mixed,0.768,L003,quiz_only,4,5,0.378,0.463,8.5,first_trigger,2026-02-03T06:00:00
TR00081,OP1007,SE00265,efficient_loading,operator-driven,0.767,L004,micro_lesson,3,5,0.526,0.653,12.8,first_trigger,2026-02-21T06:00:00
TR00082,OP1015,SE00464,idle_reduction,mixed,0.789,L001,quiz_only,7,10,0.667,0.73,6.2,escalated_to_supervisor,2026-02-23T06:00:00
TR00083,OP1012,SE00317,seatbelt_compliance,operator-driven,0.725,L002,quiz_only,6,10,0.602,0.628,2.7,second_trigger,2026-02-11T06:00:00
TR00084,OP1023,SE00953,idle_reduction,operator-driven,0.799,L001,scenario,6,10,0.664,0.761,9.7,second_trigger,2026-01-12T06:00:00
TR00085,OP1025,SE00308,fuel_efficiency,operator-driven,0.883,L005,micro_lesson,4,5,0.305,0.464,15.9,second_trigger,2026-01-05T06:00:00
TR00086,OP1026,SE01303,efficient_loading,operator-driven,0.714,L004,scenario,3,5,0.659,0.736,7.7,escalated_to_supervisor,2026-02-09T06:00:00
TR00087,OP1021,SE01431,swing_zone_awareness,operator-driven,0.691,L003,scenario,5,8,0.531,0.583,5.2,first_trigger,2026-02-18T06:00:00
TR00088,OP1020,SE00441,efficient_loading,operator-driven,0.872,L004,scenario,7,10,0.44,0.553,11.2,first_trigger,2026-01-28T06:00:00
TR00089,OP1021,SE01359,swing_zone_awareness,mixed,0.69,L003,micro_lesson,3,9,0.318,0.401,8.3,first_trigger,2026-02-20T06:00:00
TR00090,OP1018,SE00328,seatbelt_compliance,operator-driven,0.785,L002,scenario,4,5,0.5,0.643,14.3,first_trigger,2026-01-08T06:00:00
TR00091,OP1023,SE01154,seatbelt_compliance,mixed,0.776,L002,quiz_only,6,7,0.447,0.539,9.2,first_trigger,2026-02-12T06:00:00
TR00092,OP1005,SE01487,efficient_loading,mixed,0.812,L004,quiz_only,3,6,0.452,0.652,20.0,first_trigger,2026-02-09T06:00:00
TR00093,OP1009,SE00752,idle_reduction,mixed,0.942,L001,micro_lesson,3,5,0.749,0.913,16.4,first_trigger,2026-01-10T06:00:00
TR00094,OP1030,SE00513,swing_zone_awareness,operator-driven,0.791,L003,scenario,5,7,0.722,1.0,28.7,first_trigger,2026-02-18T06:00:00
TR00095,OP1021,SE00718,idle_reduction,mixed,0.939,L001,micro_lesson,3,7,0.739,0.925,18.7,first_trigger,2026-02-12T06:00:00
TR00096,OP1006,SE00543,efficient_loading,mixed,0.845,L004,quiz_only,6,9,0.719,0.847,12.7,first_trigger,2026-01-31T06:00:00
TR00097,OP1013,SE00745,efficient_loading,operator-driven,0.854,L004,scenario,5,6,0.7,0.899,20.0,first_trigger,2026-02-09T06:00:00
TR00098,OP1008,SE00615,efficient_loading,operator-driven,0.682,L004,scenario,3,10,0.4,0.483,8.4,second_trigger,2026-02-09T06:00:00
TR00099,OP1013,SE00763,seatbelt_compliance,mixed,0.659,L002,micro_lesson,4,8,0.664,0.689,2.5,first_trigger,2026-01-25T06:00:00
TR00100,OP1021,SE00513,efficient_loading,mixed,0.7,L004,micro_lesson,3,8,0.619,0.679,6.0,first_trigger,2026-01-10T06:00:00
TR00101,OP1026,SE00902,seatbelt_compliance,mixed,0.713,L002,scenario,4,6,0.55,0.635,8.5,second_trigger,2026-01-14T06:00:00
TR00102,OP1012,SE00890,swing_zone_awareness,operator-driven,0.657,L003,micro_lesson,7,8,0.739,0.773,3.4,second_trigger,2026-02-18T06:00:00
TR00103,OP1005,SE00804,efficient_loading,operator-driven,0.723,L004,scenario,4,7,0.395,0.475,8.0,first_trigger,2026-01-22T06:00:00
